"STATION","NAME","DATE","SNOW"
"USW00014732","LA GUARDIA AIRPORT, NY US","1998-01","18"
"USW00014732","LA GUARDIA AIRPORT, NY US","1998-02","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1998-03","119"
"USW00014732","LA GUARDIA AIRPORT, NY US","1998-04","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1998-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1998-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1998-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1998-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1998-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1998-10","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1998-11","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1998-12","51"
"USW00014732","LA GUARDIA AIRPORT, NY US","1999-01","129"
"USW00014732","LA GUARDIA AIRPORT, NY US","1999-02","69"
"USW00014732","LA GUARDIA AIRPORT, NY US","1999-03","122"
"USW00014732","LA GUARDIA AIRPORT, NY US","1999-04","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1999-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1999-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1999-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1999-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1999-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1999-10","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1999-11","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","1999-12","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2000-01","267"
"USW00014732","LA GUARDIA AIRPORT, NY US","2000-02","77"
"USW00014732","LA GUARDIA AIRPORT, NY US","2000-03","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2000-04","33"
"USW00014732","LA GUARDIA AIRPORT, NY US","2000-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2000-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2000-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2000-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2000-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2000-10","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2000-11","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2000-12","397"
"USW00014732","LA GUARDIA AIRPORT, NY US","2001-01","189"
"USW00014732","LA GUARDIA AIRPORT, NY US","2001-02","254"
"USW00014732","LA GUARDIA AIRPORT, NY US","2001-03","234"
"USW00014732","LA GUARDIA AIRPORT, NY US","2001-04","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2001-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2001-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2001-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2001-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2001-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2001-10","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2001-11","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2001-12","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2002-01","84"
"USW00014732","LA GUARDIA AIRPORT, NY US","2002-02","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2002-03","3"
"USW00014732","LA GUARDIA AIRPORT, NY US","2002-04","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2002-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2002-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2002-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2002-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2002-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2002-10","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2002-11","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2002-12","345"
"USW00014732","LA GUARDIA AIRPORT, NY US","2003-01","108"
"USW00014732","LA GUARDIA AIRPORT, NY US","2003-02","615"
"USW00014732","LA GUARDIA AIRPORT, NY US","2003-03","86"
"USW00014732","LA GUARDIA AIRPORT, NY US","2003-04","142"
"USW00014732","LA GUARDIA AIRPORT, NY US","2003-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2003-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2003-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2003-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2003-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2003-10","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2003-11","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2003-12","457"
"USW00014732","LA GUARDIA AIRPORT, NY US","2004-01","454"
"USW00014732","LA GUARDIA AIRPORT, NY US","2004-02","20"
"USW00014732","LA GUARDIA AIRPORT, NY US","2004-03","190"
"USW00014732","LA GUARDIA AIRPORT, NY US","2004-04","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2004-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2004-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2004-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2004-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2004-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2004-10","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2004-11","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2004-12","66"
"USW00014732","LA GUARDIA AIRPORT, NY US","2005-01","353"
"USW00014732","LA GUARDIA AIRPORT, NY US","2005-02","374"
"USW00014732","LA GUARDIA AIRPORT, NY US","2005-03","230"
"USW00014732","LA GUARDIA AIRPORT, NY US","2005-04","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2005-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2005-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2005-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2005-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2005-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2005-10","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2005-11","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2005-12","188"
"USW00014732","LA GUARDIA AIRPORT, NY US","2006-01","74"
"USW00014732","LA GUARDIA AIRPORT, NY US","2006-02","645"
"USW00014732","LA GUARDIA AIRPORT, NY US","2006-03","46"
"USW00014732","LA GUARDIA AIRPORT, NY US","2006-04","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2006-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2006-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2006-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2006-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2006-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2006-10","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2006-11","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2006-12","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2007-01","48"
"USW00014732","LA GUARDIA AIRPORT, NY US","2007-02","155"
"USW00014732","LA GUARDIA AIRPORT, NY US","2007-03","170"
"USW00014732","LA GUARDIA AIRPORT, NY US","2007-04","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2007-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2007-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2007-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2007-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2007-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2007-10","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2007-11","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2007-12","69"
"USW00014732","LA GUARDIA AIRPORT, NY US","2008-01","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2008-02","217"
"USW00014732","LA GUARDIA AIRPORT, NY US","2008-03","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2008-04","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2008-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2008-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2008-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2008-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2008-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2008-10","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2008-11","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2008-12","227"
"USW00014732","LA GUARDIA AIRPORT, NY US","2009-01","250"
"USW00014732","LA GUARDIA AIRPORT, NY US","2009-02","64"
"USW00014732","LA GUARDIA AIRPORT, NY US","2009-03","168"
"USW00014732","LA GUARDIA AIRPORT, NY US","2009-04","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2009-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2009-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2009-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2009-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2009-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2009-10","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2009-11","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2009-12","267"
"USW00014732","LA GUARDIA AIRPORT, NY US","2010-01","44"
"USW00014732","LA GUARDIA AIRPORT, NY US","2010-02","739"
"USW00014732","LA GUARDIA AIRPORT, NY US","2010-03","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2010-04","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2010-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2010-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2010-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2010-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2010-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2010-10","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2010-11","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2010-12","356"
"USW00014732","LA GUARDIA AIRPORT, NY US","2011-01","828"
"USW00014732","LA GUARDIA AIRPORT, NY US","2011-02","104"
"USW00014732","LA GUARDIA AIRPORT, NY US","2011-03","23"
"USW00014732","LA GUARDIA AIRPORT, NY US","2011-04","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2011-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2011-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2011-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2011-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2011-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2011-10","43"
"USW00014732","LA GUARDIA AIRPORT, NY US","2011-11","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2011-12","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2012-01","86"
"USW00014732","LA GUARDIA AIRPORT, NY US","2012-02","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2012-03","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2012-04","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2012-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2012-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2012-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2012-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2012-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2012-10","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2012-11","28"
"USW00014732","LA GUARDIA AIRPORT, NY US","2012-12","24"
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01","26"
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-02","334"
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-03","156"
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-04","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-10","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-11","5"
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-12","193"
"USW00014732","LA GUARDIA AIRPORT, NY US","2014-01","425"
"USW00014732","LA GUARDIA AIRPORT, NY US","2014-02","690"
"USW00014732","LA GUARDIA AIRPORT, NY US","2014-03","10"
"USW00014732","LA GUARDIA AIRPORT, NY US","2014-04","8"
"USW00014732","LA GUARDIA AIRPORT, NY US","2014-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2014-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2014-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2014-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2014-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2014-10","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2014-11","10"
"USW00014732","LA GUARDIA AIRPORT, NY US","2014-12","33"
"USW00014732","LA GUARDIA AIRPORT, NY US","2015-01","500"
"USW00014732","LA GUARDIA AIRPORT, NY US","2015-02","383"
"USW00014732","LA GUARDIA AIRPORT, NY US","2015-03","440"
"USW00014732","LA GUARDIA AIRPORT, NY US","2015-04","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2015-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2015-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2015-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2015-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2015-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2015-10","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2015-11","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2015-12","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2016-01","732"
"USW00014732","LA GUARDIA AIRPORT, NY US","2016-02","142"
"USW00014732","LA GUARDIA AIRPORT, NY US","2016-03","46"
"USW00014732","LA GUARDIA AIRPORT, NY US","2016-04","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2016-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2016-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2016-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2016-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2016-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2016-10","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2016-11","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2016-12","76"
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-01","256"
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-02","262"
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-03","249"
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-04","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-05","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-06","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-07","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-08","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-09","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-10","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-11","0"
"USW00014732","LA GUARDIA AIRPORT, NY US","2017-12","203"
